cbor_region,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Africa,33.68394874478226,10.807687697767099,10.596452940026118,11.152237377941022,14.985629576970616,3.1469947168095667,3.3633164162878564,0.0,1.5887734309454105,6.9149310389130925,1.0654175487302038,0.0,0.9423290434191829,1.7522814674075504
Asia,24.699410703930464,30.214188718252117,3.555547740752716,12.676419416453461,22.436382248352153,0.0,0.0,0.0,0.0,4.205078966145469,0.23588093985195896,0.0,1.699406632573261,0.2776846336884025
Central America,17.14056051339852,29.16751082819453,19.021339081561035,20.770792577764414,3.959797110423149,5.4059108546118635,0.0,0.0,0.0,1.6505810879425757,0.0,0.0,0.0,2.883507946103916
Eastern Europe,20.41635051859905,39.7830500605114,2.934585304767757,10.503260925499704,1.4824486780384294,0.5367033021773845,1.8665657743291306,0.0,0.0,6.113661648791255,12.518427443059622,1.4526923399506209,0.6977594506533865,1.6944945536222853
Former USSR,25.42995164145613,21.170360333512992,4.557357013379211,7.429833005336915,1.6724363676299554,1.8086117982233145,29.447563392538527,0.0,1.1618972007021064,2.8795548571473706,1.8315266020322514,0.0,0.6407336832149396,1.9701741048262837
Israel,22.898087723061927,16.627914283112492,11.422406682369408,9.047183491069264,8.903328487206805,6.365586007543864,1.7769640499035753,5.326726976435613,4.735077146989926,3.8124255900362316,3.4102974156046897,3.0644368320090063,1.2236711751073426,1.3858941395498685
Magreb,48.73534686480139,23.207995648260603,3.799382746109118,13.013655057442364,7.445701430299843,0.0,2.075515557324387,0.0,0.0,0.0,1.6119151712480426,0.0,0.0,0.11048752451425173
Middle East,15.119218602383407,16.900166106738173,6.152018267075182,7.298576037444331,7.772361507898314,0.35502797748947446,0.9186450997381637,3.3851555837308402,0.0,2.2694780968970822,1.2914569453570124,37.8097942411458,0.13132021668982827,0.5967813174124031
North America,17.58750258798245,16.785747166179153,19.8805299183868,12.95022233346935,1.7525951611212842,11.262825622605437,0.4926924161414652,0.0,0.8458396290734891,6.639465733174232,2.652491871919116,0.0,6.920346014279883,2.2297415456673337
Oceania,33.55775587702406,12.214992421557803,14.151608054600409,15.598017973447877,10.308293566706757,5.658672643985216,0.0,0.0,0.0,1.15286573567135,0.0,0.0,4.909211589486832,2.4485821375197028
South America,17.77997990788259,30.926529425010607,14.169228988281368,12.435635574459052,6.260733013893336,2.512214824386192,0.9709086636577956,0.0,3.0577874649278614,2.8273130536233295,7.706449416385874,0.0,0.3084315026975956,1.0447881647944008
Western Europe,20.92428767701865,15.371740306933546,20.454982523470587,8.125344251105131,15.59043779858558,9.367646803537774,1.2396060241116538,0.0,0.0,4.181636594208818,1.5257039656113747,0.0,2.4613684011559727,0.7572456542609187
