education_group,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Academic degree - BA,18.167806732429394,20.51219463214494,13.314928354529757,10.45159076210187,4.264309810184542,2.4398389184143054,3.4924807194672822,4.344129733500565,5.472287700793509,5.296372361906295,3.4799997622507997,5.0035259663855545,1.8749124957083894,1.8856220501827874
Academic degree - MA or higher,14.748298995267595,24.476379859125245,12.1827118157002,12.371756252685087,2.577831893393042,1.1855067997036008,4.528625204045757,6.276642000252131,3.8831457760244743,6.384503882675986,5.429677859239758,2.3192883925480854,2.005210923896005,1.6304203454430388
High school diploma with matriculation,30.95696149750426,17.604634526444674,10.640304037189772,9.065128453837492,8.564302752415982,3.760384020865882,1.6820813491049267,4.7513646336961015,2.4142014428514056,2.479436122368282,2.8175245446613597,3.1847686673869857,0.9151211175171134,1.1637868341557622
No high school diploma,28.57937956258731,10.623906202662111,7.446327424983109,5.565628759363451,13.756257508331052,12.588819544159572,7.342611550253383,2.444594491414903,3.9335905005333136,1.832853469893157,1.574803536558322,2.651171498620632,0.5423717534955006,1.1176841971441807
"Post-high school, nonacademic diploma",20.95744846510786,17.50073631007913,10.92600576888627,9.088195164581741,10.192563379259935,7.322462775648626,5.724994196543263,4.039081160388857,3.9796379342818837,3.583113887190746,3.6922824152233877,0.618324481809628,0.8478037634500956,1.5273502975485818
